county,state,estimate_2010,estimate_2011,estimate_2012,estimate_2013,estimate_2014,estimate_2015
Pettis County,Missouri,42267,42134,42288,42186,42213,42255
Phelps County,Missouri,45313,45186,45227,44978,44960,44794
Pike County,Missouri,18484,18639,18532,18579,18485,18348
Platte County,Missouri,89705,90808,92090,93241,94735,96096
Polk County,Missouri,31164,31190,31078,31007,31032,31229
Pulaski County,Missouri,52845,53268,53401,53791,53535,53221
Putnam County,Missouri,4970,4960,4937,4878,4840,4858
Ralls County,Missouri,10192,10299,10259,10181,10280,10196
Randolph County,Missouri,25441,25259,25309,24938,25065,25104
Ray County,Missouri,23472,23314,23053,23023,22950,22810
Reynolds County,Missouri,6677,6681,6660,6579,6540,6432
Ripley County,Missouri,14101,14133,14030,14014,13969,13802
St. Charles County,Missouri,361831,365237,369048,374200,379952,385590
St. Clair County,Missouri,9816,9701,9511,9493,9454,9440
Ste. Genevieve County,Missouri,18118,18231,17872,17946,17984,17919
St. Francois County,Missouri,65542,65559,65841,66181,65948,66520
St. Louis County,Missouri,998792,999016,1000775,1001295,1002188,1003362
Saline County,Missouri,23403,23330,23472,23249,23360,23258
Schuyler County,Missouri,4441,4389,4394,4366,4391,4436
Scotland County,Missouri,4843,4848,4888,4919,4858,4854
Scott County,Missouri,39241,39131,39123,39188,38856,39008
Shannon County,Missouri,8446,8423,8326,8273,8307,8258
Shelby County,Missouri,6376,6242,6236,6161,6129,6128
Stoddard County,Missouri,30022,29846,29833,29776,29870,29862
Stone County,Missouri,32058,31867,31627,31337,31101,30943
Sullivan County,Missouri,6721,6671,6563,6500,6474,6353
Taney County,Missouri,51925,52640,52992,53414,54138,54592
Texas County,Missouri,26028,25935,25757,25638,25654,25690
Vernon County,Missouri,21124,20980,20762,20889,20935,20826
Warren County,Missouri,32578,32618,32791,33041,33253,33513
Washington County,Missouri,25177,25108,25104,25162,25076,24788
Wayne County,Missouri,13509,13382,13373,13412,13415,13405
Webster County,Missouri,36273,36296,36326,36463,36880,37483
Worth County,Missouri,2155,2126,2081,2082,2062,2057
Wright County,Missouri,18857,18635,18611,18427,18303,18268
St. Louis city,Missouri,319289,319104,319083,318157,317222,315685
Beaverhead County,Montana,9241,9207,9351,9288,9310,9300
Big Horn County,Montana,12907,13043,12994,13113,13313,13242
Blaine County,Montana,6490,6562,6643,6574,6635,6577
Broadwater County,Montana,5626,5720,5749,5670,5631,5689
Carbon County,Montana,10066,10084,10124,10312,10413,10408
Carter County,Montana,1155,1143,1176,1165,1176,1180
Cascade County,Montana,81533,81772,81767,82367,82268,82278
Chouteau County,Montana,5818,5810,5936,5863,5900,5767
Custer County,Montana,11692,11766,11839,11917,12068,12135
Daniels County,Montana,1745,1773,1783,1788,1801,1760
Dawson County,Montana,8938,9013,9247,9399,9543,9625
Deer Lodge County,Montana,9299,9262,9223,9280,9152,9139
Fallon County,Montana,2887,2930,3026,3045,3111,3190
Fergus County,Montana,11588,11507,11450,11524,11433,11427
Flathead County,Montana,90868,91184,91616,92973,94726,96165
Gallatin County,Montana,89626,91353,92600,94647,97276,100739
Garfield County,Montana,1187,1278,1265,1283,1308,1314
Glacier County,Montana,13431,13563,13659,13793,13698,13647
Golden Valley County,Montana,883,840,842,858,852,827
Granite County,Montana,3072,3145,3108,3131,3215,3240
Hill County,Montana,16147,16405,16435,16605,16599,16572
Jefferson County,Montana,11393,11433,11382,11497,11552,11645
Judith Basin County,Montana,2064,2031,2023,2012,1991,1926
Lake County,Montana,28778,29023,29025,29078,29204,29457
Lewis and Clark County,Montana,63605,64258,64857,65346,65904,66418
Liberty County,Montana,2355,2383,2397,2374,2363,2408
Lincoln County,Montana,19685,19606,19478,19412,19139,19052
McCone County,Montana,1737,1711,1698,1707,1704,1683
Madison County,Montana,7685,7695,7723,7698,7806,7915
Meagher County,Montana,1889,1890,1903,1921,1865,1830
Mineral County,Montana,4218,4255,4169,4272,4244,4251
Missoula County,Montana,109455,110160,111077,111731,112681,114181
Musselshell County,Montana,4546,4749,4682,4637,4604,4582
Park County,Montana,15587,15500,15574,15641,15855,15972
Petroleum County,Montana,492,490,509,506,489,475
Phillips County,Montana,4258,4198,4120,4163,4186,4169
Pondera County,Montana,6166,6207,6182,6247,6211,6184
Powder River County,Montana,1730,1752,1758,1751,1778,1773
Powell County,Montana,7017,7078,7087,6965,6906,6840
Prairie County,Montana,1186,1155,1154,1171,1140,1160
Ravalli County,Montana,40340,40397,40625,40767,40953,41373
Richland County,Montana,9748,10144,10805,11180,11573,11960
Roosevelt County,Montana,10443,10531,10891,11122,11340,11476
Rosebud County,Montana,9249,9349,9371,9307,9335,9398
Sanders County,Montana,11394,11371,11371,11323,11329,11336
Sheridan County,Montana,3371,3440,3579,3652,3679,3687
Silver Bow County,Montana,34230,34374,34484,34536,34730,34622
Stillwater County,Montana,9116,9167,9199,9301,9287,9486
Sweet Grass County,Montana,3623,3593,3598,3674,3666,3634
Teton County,Montana,6079,6085,6070,6063,6046,6104
Toole County,Montana,5342,5170,5231,5127,5135,5087
Treasure County,Montana,720,721,732,700,696,697
Valley County,Montana,7373,7476,7497,7627,7624,7659
Wheatland County,Montana,2159,2140,2100,2131,2096,2110
Wibaux County,Montana,1005,989,1056,1128,1125,1130
Yellowstone County,Montana,148406,149865,151917,154040,155588,157048
Adams County,Nebraska,31338,31233,31388,31582,31419,31587
Antelope County,Nebraska,6668,6632,6529,6451,6403,6414
Arthur County,Nebraska,464,469,482,452,454,456
Banner County,Nebraska,697,737,765,768,748,788
Blaine County,Nebraska,472,496,512,481,501,487
Boone County,Nebraska,5502,5397,5416,5387,5351,5315
Box Butte County,Nebraska,11277,11292,11279,11309,11334,11337
Boyd County,Nebraska,2102,2085,2061,2019,2027,2006
Brown County,Nebraska,3149,3081,3026,2926,2941,2946
Buffalo County,Nebraska,46177,46835,47655,48090,48348,48863
Burt County,Nebraska,6847,6794,6685,6581,6590,6585
Butler County,Nebraska,8373,8308,8308,8312,8238,8115
Cass County,Nebraska,25263,25264,25161,25369,25496,25512
Cedar County,Nebraska,8818,8776,8758,8673,8606,8564
Chase County,Nebraska,3963,4000,4031,3976,3973,3956
Cherry County,Nebraska,5705,5740,5730,5774,5760,5848
Cheyenne County,Nebraska,9971,9974,10059,10065,10120,10167
Clay County,Nebraska,6545,6480,6414,6381,6326,6309
Colfax County,Nebraska,10537,10576,10552,10414,10546,10520
Cuming County,Nebraska,9156,9143,9098,9002,9023,9125
Custer County,Nebraska,10915,10877,10790,10792,10743,10806
Dakota County,Nebraska,21033,20834,20793,20867,20717,20781
Dawes County,Nebraska,9174,9236,9183,9119,9089,9055
Dawson County,Nebraska,24335,24296,24055,24086,24024,23886
Deuel County,Nebraska,1937,1971,1972,1929,1936,1921
Dixon County,Nebraska,5978,6013,5910,5827,5783,5797
Dodge County,Nebraska,36661,36946,36645,36605,36725,36706
Douglas County,Nebraska,518664,524677,531554,537994,543985,550064
Dundy County,Nebraska,2008,1976,1990,1972,1889,1799
Fillmore County,Nebraska,5876,5839,5731,5664,5634,5619
Franklin County,Nebraska,3232,3217,3191,3066,3050,2985
Frontier County,Nebraska,2756,2732,2735,2716,2714,2624
Furnas County,Nebraska,4952,4936,4903,4849,4883,4862
Gage County,Nebraska,22294,21955,21746,21827,21662,21900
Garden County,Nebraska,2080,2046,1964,1905,1912,1918
Garfield County,Nebraska,2040,1989,1985,2018,1995,2028
Gosper County,Nebraska,2044,1949,2034,1965,1961,1973
Grant County,Nebraska,614,633,617,627,620,641
Greeley County,Nebraska,2542,2533,2455,2481,2481,2429
Hall County,Nebraska,58814,59586,60333,60854,61509,61680
Hamilton County,Nebraska,9120,9073,9021,9107,9109,9190
Harlan County,Nebraska,3417,3442,3416,3500,3478,3452
Hayes County,Nebraska,961,984,947,972,932,932
Hitchcock County,Nebraska,2896,2873,2884,2867,2890,2883
Holt County,Nebraska,10449,10459,10403,10427,10390,10313
Hooker County,Nebraska,735,743,712,731,726,732
Howard County,Nebraska,6267,6304,6308,6347,6366,6409
Jefferson County,Nebraska,7516,7542,7536,7522,7303,7263
Johnson County,Nebraska,5220,5198,5165,5127,5174,5173
Kearney County,Nebraska,6485,6555,6515,6501,6588,6585
Keith County,Nebraska,8363,8223,8214,8121,8109,8063
Keya Paha County,Nebraska,821,823,797,795,804,804
Kimball County,Nebraska,3820,3781,3775,3666,3690,3689
Knox County,Nebraska,8676,8587,8586,8567,8498,8543
Lancaster County,Nebraska,286187,289989,293624,297577,302742,306468
Lincoln County,Nebraska,36262,36054,36008,36038,35723,35656
Logan County,Nebraska,770,769,773,763,752,777
Loup County,Nebraska,626,614,600,581,587,585
McPherson County,Nebraska,537,545,504,523,501,475
Madison County,Nebraska,34935,34998,35115,35232,35169,35039
Merrick County,Nebraska,7856,7735,7799,7791,7767,7787
Morrill County,Nebraska,5037,4926,4871,4867,4850,4854
Nance County,Nebraska,3733,3736,3708,3600,3555,3595
Nemaha County,Nebraska,7246,7272,7196,7171,7154,7046
Nuckolls County,Nebraska,4506,4448,4429,4385,4366,4329
Otoe County,Nebraska,15766,15799,15755,15783,15888,15984
Pawnee County,Nebraska,2770,2780,2777,2720,2692,2659
Perkins County,Nebraska,2979,2948,2939,2899,2892,2944
Phelps County,Nebraska,9187,9162,9222,9201,9201,9296
Pierce County,Nebraska,7254,7190,7170,7158,7196,7208
Platte County,Nebraska,32298,32461,32615,32555,32734,32847
Polk County,Nebraska,5388,5341,5286,5249,5277,5202
Red Willow County,Nebraska,11052,11011,11015,11016,10860,10829
Richardson County,Nebraska,8362,8343,8289,8130,8151,8094
Rock County,Nebraska,1512,1432,1377,1399,1413,1381
Saline County,Nebraska,14225,14355,14476,14351,14338,14282
Sarpy County,Nebraska,159755,162667,165875,169437,172291,175692
Saunders County,Nebraska,20862,20884,20824,20908,20932,21016
Scotts Bluff County,Nebraska,37074,36932,36913,36852,36463,36261
Seward County,Nebraska,16798,16739,16977,17065,17098,17110
Sheridan County,Nebraska,5455,5387,5352,5244,5268,5220
Sherman County,Nebraska,3149,3141,3124,3108,3072,3091
Sioux County,Nebraska,1313,1327,1322,1324,1309,1260
Stanton County,Nebraska,6134,6189,6102,6094,6081,5937
Thayer County,Nebraska,5220,5174,5156,5187,5228,5163
Thomas County,Nebraska,650,688,691,698,687,684
Thurston County,Nebraska,6970,6909,6921,6875,6961,7064
Valley County,Nebraska,4263,4247,4233,4198,4211,4154
Washington County,Nebraska,20275,20263,20294,20217,20265,20248
Wayne County,Nebraska,9606,9452,9498,9415,9391,9367
Webster County,Nebraska,3816,3768,3755,3668,3668,3625
Wheeler County,Nebraska,824,815,795,760,765,750
York County,Nebraska,13654,13753,13819,13836,13909,13806
Churchill County,Nevada,24804,24601,24340,24075,24046,24200
Clark County,Nevada,1953378,1967290,1998204,2028421,2069146,2114801
Douglas County,Nevada,47026,47021,46986,47057,47519,47710
Elko County,Nevada,49076,49523,51106,52516,52731,51935
Esmeralda County,Nevada,782,758,770,835,825,829
Eureka County,Nevada,1993,1981,1992,2055,1989,2016
Humboldt County,Nevada,16592,16651,17090,17347,17228,17019
Lander County,Nevada,5784,5845,5930,6063,5987,5903
Lincoln County,Nevada,5358,5263,5337,5216,5120,5036
Lyon County,Nevada,52070,51463,51115,51355,51766,52585
Mineral County,Nevada,4771,4627,4667,4553,4506,4478
Nye County,Nevada,43856,43315,42899,42229,42203,42477
Pershing County,Nevada,6745,6646,6773,6863,6695,6634
Storey County,Nevada,3995,3955,3914,3883,3908,3987
Washoe County,Nevada,422135,425015,429173,433848,440154,446903
White Pine County,Nevada,10045,10109,9980,9993,9978,9811
Carson City,Nevada,55030,54756,54598,54057,54480,54521
Belknap County,New Hampshire,60118,60281,60422,60221,60428,60641
Carroll County,New Hampshire,47821,47747,47664,47495,47372,47285
Cheshire County,New Hampshire,76938,76807,76763,76476,76193,75909
Coos County,New Hampshire,32980,32478,31995,31971,31694,31212
Grafton County,New Hampshire,89104,89043,89277,89488,89575,89320
Hillsborough County,New Hampshire,401016,401758,402641,403444,405339,406678
Merrimack County,New Hampshire,146430,146752,146987,147116,147461,147994
Rockingham County,New Hampshire,295333,296022,297837,298758,300638,301777
Strafford County,New Hampshire,123219,124002,124624,124724,126191,126825
Sullivan County,New Hampshire,43749,43454,43183,42967,43105,42967
Atlantic County,New Jersey,274761,275078,275763,276321,275499,274219
Bergen County,New Jersey,906895,914018,920006,926284,932836,938506
Burlington County,New Jersey,449218,450549,451227,450103,450677,450226
Camden County,New Jersey,513594,513185,512993,511922,510967,510923
Cape May County,New Jersey,97263,96597,96447,95896,95359,94727
Cumberland County,New Jersey,157155,157570,157677,156977,157099,155854
Essex County,New Jersey,784597,787006,787707,790935,794962,797434
Gloucester County,New Jersey,288701,289470,289719,289923,290898,291479
Hudson County,New Jersey,636317,648350,656840,663565,669502,674836
Hunterdon County,New Jersey,127342,127203,126495,126252,125810,125488
Mercer County,New Jersey,367959,367908,369171,370984,371601,371398
Middlesex County,New Jersey,811249,817516,824638,831107,837339,840900
Monmouth County,New Jersey,630677,629815,629075,629304,629018,628715
Morris County,New Jersey,492793,495750,497395,499072,499236,499509
Ocean County,New Jersey,577643,578931,580592,583090,585916,588721
Passaic County,New Jersey,502273,504193,505392,507456,509913,510916
Salem County,New Jersey,65998,66031,65656,65062,64670,64180
Somerset County,New Jersey,324170,326815,328674,331244,332634,333654
Sussex County,New Jersey,148815,148097,147048,145826,145004,143673
Union County,New Jersey,537770,540707,544840,549340,553049,555786
Warren County,New Jersey,108691,108145,107538,106721,106855,106869
Bernalillo County,New Mexico,664117,669492,672948,674942,675647,676685
Catron County,New Mexico,3734,3707,3643,3574,3534,3456
Chaves County,New Mexico,65746,65681,65786,65989,65837,65764
Cibola County,New Mexico,27313,27520,27329,27451,27282,27329
Colfax County,New Mexico,13735,13615,13226,13046,12684,12414
Curry County,New Mexico,48959,49688,50713,50631,51055,50398
De Baca County,New Mexico,2018,1969,1938,1889,1827,1828
Dona Ana County,New Mexico,210202,212982,214428,214051,214059,214295
Eddy County,New Mexico,53907,54047,54419,55577,56583,57578
Grant County,New Mexico,29398,29396,29331,29257,29002,28609
Guadalupe County,New Mexico,4693,4651,4613,4554,4443,4371
Harding County,New Mexico,687,709,696,686,677,698
Hidalgo County,New Mexico,4854,4844,4786,4614,4547,4423
Lea County,New Mexico,64625,65077,66258,68298,69930,71180
Lincoln County,New Mexico,20463,20393,20200,19980,19663,19420
Los Alamos County,New Mexico,18012,18178,18168,17848,17718,17785
Luna County,New Mexico,25109,25141,24997,24703,24586,24518
McKinley County,New Mexico,71753,73497,72709,73230,73846,76708
Mora County,New Mexico,4884,4784,4678,4668,4582,4596
Otero County,New Mexico,64354,65493,66002,65766,64966,64362
Quay County,New Mexico,9065,9080,8812,8683,8462,8455
Rio Arriba County,New Mexico,40307,40322,40246,40027,39686,39465
Roosevelt County,New Mexico,20014,20456,20340,19997,19626,19120
Sandoval County,New Mexico,132351,134215,135397,136528,137654,139394
San Juan County,New Mexico,130140,128016,128359,126564,123990,118737
San Miguel County,New Mexico,29401,29342,29028,28700,28303,27967
Santa Fe County,New Mexico,144462,145395,146326,147154,147977,148686
Sierra County,New Mexico,12023,12025,11878,11557,11332,11282
Socorro County,New Mexico,17809,17818,17524,17534,17340,17256
Taos County,New Mexico,32904,32944,32830,32992,33041,32907
Torrance County,New Mexico,16379,16409,16080,15703,15586,15485
Union County,New Mexico,4545,4432,4426,4368,4269,4201
Valencia County,New Mexico,76778,76908,76678,76329,75833,75737
Albany County,New York,304069,305010,306419,307776,308729,309381
Allegany County,New York,48951,48825,48258,48026,47781,47462
Bronx County,New York,1388264,1400221,1415240,1429123,1441757,1455444
Broome County,New York,200382,199379,198779,198222,197516,196567
Cattaraugus County,New York,80260,79851,79383,79016,78638,77922
Cayuga County,New York,79858,79831,79653,79255,78836,78288
Chautauqua County,New York,134750,134264,133424,132991,131773,130779
Chemung County,New York,88969,88997,89277,88523,87469,87071
Chenango County,New York,50344,50219,49872,49479,49333,48844
Clinton County,New York,82068,81851,81863,81757,81702,81251
Columbia County,New York,63020,62640,62551,62298,61979,61509
Cortland County,New York,49265,49527,49187,49078,48929,48494
Delaware County,New York,47886,47658,47322,46876,46597,46053
Dutchess County,New York,297745,298274,297270,296963,296380,295754
Erie County,New York,919077,919924,920431,921794,923193,922578
Essex County,New York,39290,39479,39119,38853,38632,38478
Franklin County,New York,51628,51572,51787,51249,51133,50660
Fulton County,New York,55468,55273,55045,54546,54173,53992
Genesee County,New York,60029,60004,59865,59387,59099,58937
Greene County,New York,49118,48992,48672,48353,47919,47625
Hamilton County,New York,4834,4831,4793,4758,4706,4712
Herkimer County,New York,64444,64623,64552,64181,63715,63100
Jefferson County,New York,116570,118172,120772,119192,118964,117635
Kings County,New York,2510335,2544744,2573998,2600098,2620720,2636735
Lewis County,New York,27062,27085,27254,27154,27172,26957
Livingston County,New York,65241,64890,64869,64764,64763,64717
Madison County,New York,73433,72974,72496,72559,72257,71849
Monroe County,New York,744874,747615,748789,750414,750362,749600
Montgomery County,New York,50284,49924,49827,49771,49729,49642
Nassau County,New York,1341882,1347270,1350924,1354842,1358673,1361350
New York County,New York,1588609,1609789,1624885,1631375,1636966,1644518
Niagara County,New York,216489,215669,214767,214214,213449,212652
Oneida County,New York,234837,234267,233991,233760,233272,232500
Onondaga County,New York,467464,467824,467471,469101,468659,468463
Ontario County,New York,108219,108759,108795,109262,109583,109561
Orange County,New York,373428,374293,374026,374958,375994,377647
Orleans County,New York,42847,42703,42469,42323,41944,41582
Oswego County,New York,122132,122021,121572,121339,120835,120146
Otsego County,New York,62203,61985,61826,61599,60948,60636
Putnam County,New York,99795,99907,99644,99596,99252,99042
Queens County,New York,2235573,2261144,2280072,2302881,2322450,2339150
Rensselaer County,New York,159372,159731,159636,159784,160083,160266
Richmond County,New York,469645,471102,470874,472570,473301,474558
Rockland County,New York,312484,315807,317775,320498,323323,326037
St. Lawrence County,New York,111822,112477,112595,112222,111753,111007
Saratoga County,New York,220088,221165,222531,224221,224704,226249
Schenectady County,New York,154896,154658,154885,154912,154919,154604
Schoharie County,New York,32687,32658,32071,31849,31656,31330
Schuyler County,New York,18310,18496,18576,18492,18301,18186
Seneca County,New York,35245,35359,35381,35258,34890,34833
Steuben County,New York,98991,99286,99094,98987,98326,97631
Suffolk County,New York,1494878,1500649,1500001,1502288,1502342,1501587
Sullivan County,New York,77433,77116,76956,76929,75770,74877
Tioga County,New York,51074,51022,50378,50210,49930,49453
Tompkins County,New York,101774,102120,103133,104367,104727,104926
Ulster County,New York,182421,182676,181839,181054,180787,180143
Warren County,New York,65684,65693,65421,65146,64954,64688
Washington County,New York,63292,63083,63041,62744,62402,62230
Wayne County,New York,93755,93267,93017,92434,91914,91446
Westchester County,New York,950636,957270,961577,968826,972504,976396
Wyoming County,New York,42088,41900,41738,41400,41179,41013
Yates County,New York,25349,25387,25253,25135,25112,25048
Alamance County,North Carolina,151581,152947,153822,154886,156357,158276
Alexander County,North Carolina,37247,37118,36976,37006,37364,37325
Alleghany County,North Carolina,11145,11025,10927,10889,10878,10837
Anson County,North Carolina,26873,26517,26321,25958,26122,25759
Ashe County,North Carolina,27251,27172,27147,27131,27101,27020
Avery County,North Carolina,17730,17761,17619,17679,17726,17689
Beaufort County,North Carolina,47781,47692,47507,47440,47513,47651
Bertie County,North Carolina,21251,20971,20589,20427,20406,20199
Bladen County,North Carolina,35168,35001,34911,34830,34542,34318
Brunswick County,North Carolina,108181,110301,112255,115391,118919,122765
Buncombe County,North Carolina,238776,241345,244243,247618,250297,253178
Burke County,North Carolina,90687,90712,89995,89386,88807,88842
Cabarrus County,North Carolina,178649,181299,184409,187477,191929,196762
Caldwell County,North Carolina,82959,82261,81919,81890,81434,81287
Camden County,North Carolina,9983,10042,10032,10136,10286,10309
Carteret County,North Carolina,66697,67356,67729,68447,68730,68879
Caswell County,North Carolina,23686,23569,23172,23232,22956,22941
Catawba County,North Carolina,154303,154143,154499,154734,154618,155056
Chatham County,North Carolina,63781,65179,65772,66668,68609,70928
Cherokee County,North Carolina,27428,27138,26978,27078,27087,27178
Chowan County,North Carolina,14746,14811,14727,14734,14616,14394
Clay County,North Carolina,10582,10662,10667,10629,10618,10703
Cleveland County,North Carolina,97989,97558,97440,97006,97007,96879
Columbus County,North Carolina,57925,57811,57572,57136,56938,56694
Craven County,North Carolina,103939,104705,105327,104419,104350,103451
Cumberland County,North Carolina,320150,323865,323143,326354,325814,323838
Currituck County,North Carolina,23663,23900,24032,24340,24927,25263
Dare County,North Carolina,33986,34193,34463,34913,35083,35663
Davidson County,North Carolina,162884,163340,163516,163788,164067,164622
Davie County,North Carolina,41281,41344,41325,41490,41322,41753
Duplin County,North Carolina,58690,59395,59595,59499,59618,59159
Durham County,North Carolina,270878,276552,282614,288642,295323,300952
Edgecombe County,North Carolina,56607,56096,55735,55522,54898,54150
Forsyth County,North Carolina,351463,354510,357919,361379,365593,369019
Franklin County,North Carolina,60837,61109,61586,62272,62805,63710
Gaston County,North Carolina,206077,206943,208161,209450,211040,213442
Gates County,North Carolina,12160,12070,11911,11657,11550,11431
Graham County,North Carolina,8869,8789,8705,8737,8651,8616
Granville County,North Carolina,57652,57673,57782,58061,58357,58674
Greene County,North Carolina,21372,21675,21383,21199,21247,21134
Guilford County,North Carolina,489489,495126,501029,507100,512959,517600
Halifax County,North Carolina,54532,54248,53927,53387,53019,52456
Harnett County,North Carolina,115728,119189,122237,125168,126865,128140
Haywood County,North Carolina,58958,58703,58781,59120,59380,59868
Henderson County,North Carolina,106951,107514,108081,109404,110939,112655
Hertford County,North Carolina,24599,24493,24395,24389,24380,24184
Hoke County,North Carolina,47473,49472,50462,51125,51644,52671
Hyde County,North Carolina,5813,5830,5733,5715,5661,5526
Iredell County,North Carolina,159798,161111,162774,164756,166822,169866
Jackson County,North Carolina,40345,40204,40565,41030,40998,41265
Johnston County,North Carolina,169643,172791,174812,177758,180959,185660
Jones County,North Carolina,10078,10265,10277,10202,10074,10013
Lee County,North Carolina,57887,58552,59365,59927,59588,59660
Lenoir County,North Carolina,59450,59425,59142,58840,58399,58106
Lincoln County,North Carolina,78406,78539,78963,79475,79880,81035
McDowell County,North Carolina,45071,44957,44969,44936,44954,44989
Macon County,North Carolina,33941,33848,33836,33819,33889,34201
Madison County,North Carolina,20777,20825,20878,21125,21166,21139
Martin County,North Carolina,24460,24237,23892,23709,23448,23357
Mecklenburg County,North Carolina,923314,945108,968428,991904,1011928,1034070
Mitchell County,North Carolina,15535,15376,15375,15323,15330,15246
Montgomery County,North Carolina,27744,27862,27653,27531,27410,27548
Moore County,North Carolina,88607,89384,90347,91564,93066,94352
Nash County,North Carolina,95840,95711,95255,94475,94249,93919
New Hanover County,North Carolina,203298,205970,209219,213324,216585,220358
Northampton County,North Carolina,21996,21960,21303,20797,20567,20426
Onslow County,North Carolina,179595,177857,183769,185560,185267,186311
Orange County,North Carolina,134043,134759,137662,139287,140160,141354
Pamlico County,North Carolina,13103,13291,13033,12894,12909,12781
Pasquotank County,North Carolina,40721,40376,40517,39739,39628,39829
Pender County,North Carolina,52350,53292,53872,54968,56086,57611
Perquimans County,North Carolina,13483,13461,13536,13590,13462,13440
Person County,North Carolina,39421,39520,39173,39232,39125,39259
Pitt County,North Carolina,168822,170782,172924,174339,175103,175842
Polk County,North Carolina,20450,20292,20249,20390,20337,20366
Randolph County,North Carolina,141929,141830,142268,142336,142617,142799
Richmond County,North Carolina,46626,46606,46350,46137,45700,45437
Robeson County,North Carolina,134381,135029,135362,135033,134732,134197
Rockingham County,North Carolina,93650,93219,92718,91986,91821,91758
Rowan County,North Carolina,138315,137995,137841,138180,138648,139142
Rutherford County,North Carolina,67746,67368,67203,66825,66537,66390
Sampson County,North Carolina,63515,63659,63901,64071,64010,63724
Scotland County,North Carolina,36081,36317,36139,35978,35715,35509
Stanly County,North Carolina,60553,60471,60496,60619,60629,60714
Stokes County,North Carolina,47335,47192,46761,46588,46415,46351
Surry County,North Carolina,73693,73608,73524,72993,72980,72743
Swain County,North Carolina,13997,13999,14088,14010,14286,14434
Transylvania County,North Carolina,33065,32798,32815,32827,32991,33211
Tyrrell County,North Carolina,4413,4338,4137,4099,4118,4070
Union County,North Carolina,202117,205060,208347,212623,218337,222742
Vance County,North Carolina,45302,45242,45053,44697,44587,44568
Wake County,North Carolina,906965,929334,952576,974717,999271,1024198
Warren County,North Carolina,20923,20927,20587,20445,20224,20155
Washington County,North Carolina,13163,12949,12717,12732,12558,12385
Watauga County,North Carolina,50981,51563,52050,52293,52388,52906
Wayne County,North Carolina,122892,124028,124516,124597,124502,124132
Wilkes County,North Carolina,69231,69195,69225,69007,68802,68502
Wilson County,North Carolina,81246,81430,81759,81607,81394,81714
Yadkin County,North Carolina,38436,38311,38115,38045,37798,37585
Yancey County,North Carolina,17796,17677,17615,17555,17586,17587
Adams County,North Dakota,2349,2304,2317,2367,2359,2359
Barnes County,North Dakota,11064,11108,11015,11147,11118,11099
Benson County,North Dakota,6675,6696,6768,6900,6854,6753
Billings County,North Dakota,771,839,917,894,910,936
Bottineau County,North Dakota,6426,6503,6582,6721,6649,6716
Bowman County,North Dakota,3143,3137,3210,3218,3244,3294
Burke County,North Dakota,1959,2049,2161,2286,2235,2308
Burleigh County,North Dakota,81729,83312,85815,88474,90521,92991
Cass County,North Dakota,150270,153115,157509,163089,167276,171512
Cavalier County,North Dakota,3982,3953,3942,3869,3858,3828
Dickey County,North Dakota,5285,5269,5249,5232,5123,5104
Divide County,North Dakota,2078,2141,2233,2315,2429,2450
Dunn County,North Dakota,3541,3752,3979,4170,4428,4646
Eddy County,North Dakota,2382,2351,2374,2393,2368,2365
Emmons County,North Dakota,3542,3524,3482,3481,3424,3402
Foster County,North Dakota,3344,3352,3391,3370,3362,3356
Golden Valley County,North Dakota,1683,1750,1803,1817,1828,1845
Grand Forks County,North Dakota,66984,66647,67709,69362,70262,70916
Grant County,North Dakota,2389,2355,2337,2372,2358,2388
Griggs County,North Dakota,2411,2372,2355,2291,2312,2314
Hettinger County,North Dakota,2475,2525,2555,2665,2656,2704
Kidder County,North Dakota,2439,2446,2435,2426,2424,2417
LaMoure County,North Dakota,4123,4115,4097,4118,4111,4125
Logan County,North Dakota,1999,1970,1936,1935,1950,1935
McHenry County,North Dakota,5397,5484,5779,5894,5955,5968
McIntosh County,North Dakota,2796,2763,2757,2751,2763,2759
McKenzie County,North Dakota,6399,7015,7969,9269,10995,12826
McLean County,North Dakota,8992,9081,9372,9472,9587,9744
Mercer County,North Dakota,8425,8435,8504,8609,8763,8853
Morton County,North Dakota,27577,27725,28042,29016,29833,30310
Mountrail County,North Dakota,7720,8105,8741,9338,9749,10331
Nelson County,North Dakota,3120,3066,3082,3075,3042,2968
Oliver County,North Dakota,1836,1847,1835,1867,1848,1846
Pembina County,North Dakota,7399,7383,7261,7164,7129,7091
Pierce County,North Dakota,4352,4379,4458,4440,4386,4312
Ramsey County,North Dakota,11450,11509,11559,11551,11583,11630
Ransom County,North Dakota,5429,5418,5474,5490,5437,5448
Renville County,North Dakota,2476,2494,2552,2615,2578,2571
Richland County,North Dakota,16330,16266,16217,16302,16396,16402
Rolette County,North Dakota,14003,14150,14365,14654,14673,14649
Sargent County,North Dakota,3804,3803,3894,3875,3922,3876
Sheridan County,North Dakota,1314,1313,1273,1317,1323,1310
Sioux County,North Dakota,4151,4253,4355,4455,4466,4370
Slope County,North Dakota,729,724,762,760,767,767
Stark County,North Dakota,24352,25165,26931,28399,30490,32154
Steele County,North Dakota,1976,2032,1995,1960,1953,1956
Stutsman County,North Dakota,21125,21000,20978,21124,21174,21103
Towner County,North Dakota,2235,2291,2319,2289,2298,2272
Traill County,North Dakota,8111,8048,8065,8196,8063,8014
